,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
825638,1943,2932,4,975733549,M,18,4,91501,Days of Heaven (1978),Drama,False
988195,2700,210,3,973481282,M,25,7,30117,Wild Bill (1995),Western,False
677436,2203,466,2,974604882,M,45,12,53718,Hot Shots! Part Deux (1993),Action|Comedy|War,False
60688,5387,1357,4,960340365,F,25,1,45056,Shine (1996),Drama|Romance,False
446867,928,1278,5,975194006,F,56,16,98199,Young Frankenstein (1974),Comedy|Horror,False
426295,438,1256,5,976674145,M,18,11,53705,Duck Soup (1933),Comedy|War,False
91070,1428,1544,3,975167595,F,45,11,40204,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,False
638668,5852,446,3,957756621,F,25,1,94044,Farewell My Concubine (1993),Drama|Romance,False
237923,2419,2058,3,974247873,M,25,0,06096,"Negotiator, The (1998)",Action|Thriller,False
85052,904,292,3,975210042,M,35,20,92308,Outbreak (1995),Action|Drama|Thriller,False
243151,3178,581,5,993166422,F,35,5,44313,"Celluloid Closet, The (1995)",Documentary,False
32401,4839,1721,4,962868657,F,50,6,95014,Titanic (1997),Drama|Romance,False
498873,5501,370,3,959799784,M,25,2,33334,Naked Gun 33 1/3: The Final Insult (1994),Comedy,False
720302,272,2265,4,976695290,M,18,0,80302,Nothing But Trouble (1991),Adventure|Comedy,False
344342,3778,2469,3,966037881,M,25,0,61832,Peggy Sue Got Married (1986),Comedy|Romance,False
62760,4488,2194,4,965012262,M,35,7,72703,"Untouchables, The (1987)",Action|Crime|Drama,False
713742,4060,2150,5,965492006,M,25,18,55412,"Gods Must Be Crazy, The (1980)",Comedy,False
786226,4593,2875,3,964238526,F,45,1,43202,Sommersby (1993),Drama|Mystery|Romance,False
623245,4274,2722,3,965303950,F,45,1,04258,Deep Blue Sea (1999),Action|Sci-Fi|Thriller,False
755177,2676,2132,4,973401673,M,56,20,78731,Who's Afraid of Virginia Woolf? (1966),Drama,False
908428,81,978,5,977785436,F,25,0,60640,"Blue Angel, The (Blaue Engel, Der) (1930)",Drama,False
525989,5550,3175,2,959471385,M,35,15,48187,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
481735,1470,344,4,974839366,M,18,4,94118,Ace Ventura: Pet Detective (1994),Comedy,False
665119,1339,1876,1,974870523,M,35,18,85275,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller,False
445183,5786,2078,4,958267405,M,25,6,53211,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical,False
520315,3729,1135,2,966566542,M,18,4,20037,Private Benjamin (1980),Comedy,False
697404,1676,2338,3,974710002,M,18,4,91301,I Still Know What You Did Last Summer (1998),Horror|Mystery|Thriller,False
567103,699,2335,4,975558835,M,18,0,73505,"Waterboy, The (1998)",Comedy,False
976746,3735,3680,5,966191507,M,25,0,10009,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary,False
923178,550,9,3,976159974,M,45,8,21559,Sudden Death (1995),Action,False
112874,5576,442,3,959695105,M,25,4,55369,Demolition Man (1993),Action|Sci-Fi,False
238523,73,47,3,981605490,M,18,4,53706,Seven (Se7en) (1995),Crime|Thriller,False
227247,3818,2987,5,965948978,M,45,17,32837,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
188211,2153,3868,5,974623888,M,18,16,97405,"Naked Gun: From the Files of Police Squad!, The (1988)",Comedy,False
40069,5429,2762,5,960076210,F,25,1,02460,"Sixth Sense, The (1999)",Thriller,False
25354,4948,1270,5,962640130,M,45,2,94618,Back to the Future (1985),Comedy|Sci-Fi,False
469521,1404,333,1,974765557,M,50,16,91360,Tommy Boy (1995),Comedy,False
699760,721,1994,4,976465171,F,35,9,97520,Poltergeist (1982),Horror|Thriller,False
948037,5463,2525,3,959901175,M,35,0,53202,Alligator (1980),Action|Horror|Sci-Fi,False
700963,3199,2502,3,968632183,M,18,0,57106,Office Space (1999),Comedy|Romance,False
762751,5636,3676,3,985828686,M,25,7,98102,Eraserhead (1977),Drama|Horror,False
104887,1395,1690,4,1019425399,M,25,2,07026,Alien: Resurrection (1997),Action|Horror|Sci-Fi,False
966546,5111,2730,2,962427471,M,35,2,78006,Barry Lyndon (1975),Drama,False
174045,2206,318,5,974603567,M,45,7,11201,"Shawshank Redemption, The (1994)",Drama,False
181723,4016,1247,5,965532488,M,50,0,33901,"Graduate, The (1967)",Drama|Romance,False
511387,824,1200,3,975553092,M,35,12,94530,Aliens (1986),Action|Sci-Fi|Thriller|War,False
529685,2742,2015,1,973220997,M,25,17,36092,"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy,False
488408,2321,1020,5,974496397,M,25,7,30115,Cool Runnings (1993),Comedy,False
105939,5171,3654,4,961889611,M,56,17,92009,"Guns of Navarone, The (1961)",Action|Drama|War,False
231187,862,1392,4,975340369,M,35,7,10019,Citizen Ruth (1996),Comedy|Drama,False
268435,4013,2291,3,965538404,M,25,1,77803,Edward Scissorhands (1990),Drama|Romance,False
307828,4506,994,5,964981784,M,50,16,29464,Big Night (1996),Drama,False
65207,3502,2268,4,966993029,F,18,7,80503,"Few Good Men, A (1992)",Crime|Drama,False
628973,687,1779,4,975691330,F,25,7,14136,Sphere (1998),Adventure|Sci-Fi|Thriller,False
145553,3681,2396,5,975682853,M,25,7,29662,Shakespeare in Love (1998),Comedy|Romance,False
363214,4927,2429,3,962661510,M,45,0,97520,Mighty Joe Young (1998),Adventure|Children's|Drama,False
319278,1274,1171,3,979297721,M,45,7,37343,Bob Roberts (1992),Comedy,False
992219,3032,997,4,970364769,M,25,0,47303,Caught (1996),Drama|Thriller,False
818943,1586,1272,5,974737889,M,45,7,77351,Patton (1970),Drama|War,False
473500,2092,1374,3,974670480,M,56,1,49006,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
434944,637,2135,3,975735266,M,35,12,97132,Doctor Dolittle (1967),Adventure|Musical,False
633682,3280,198,3,968345467,M,25,7,33486,Strange Days (1995),Action|Crime|Sci-Fi,False
503252,4942,2863,3,962644937,M,45,12,40515,"Hard Day's Night, A (1964)",Comedy|Musical,False
257449,3718,2282,4,966265172,M,50,17,07728,Pecker (1998),Comedy|Drama,False
735917,4447,2148,2,965176133,M,45,5,32953,House (1986),Comedy|Horror,False
573944,1140,3897,5,974876995,F,45,2,73069,Almost Famous (2000),Comedy|Drama,False
635846,1680,2912,5,974712079,M,25,20,95380,"Limey, The (1999)",Action|Crime|Drama,False
655916,3312,737,1,967959448,F,18,4,90039,Barb Wire (1996),Action|Sci-Fi,False
912001,268,3882,4,976640936,F,18,12,29708,Bring It On (2000),Comedy,False
802437,1179,3062,4,974868512,M,50,1,91030,"Longest Day, The (1962)",Action|Drama|War,False
666372,655,2248,3,975698222,F,25,2,92629,Say Anything... (1989),Comedy|Drama|Romance,False
856557,403,3555,4,976292055,M,18,4,02138,U-571 (2000),Action|Thriller,False
298164,1980,3260,5,974686841,M,35,7,06460,Howards End (1992),Drama,False
827068,4238,1130,3,965416530,M,35,16,44691,"Howling, The (1980)",Horror,False
101230,2826,3471,2,972600931,M,35,12,10011,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,False
670717,4902,1960,3,962686509,M,35,14,84057,"Last Emperor, The (1987)",Drama|War,False
896654,4227,3620,1,965322950,M,25,19,11414-2520,"Myth of Fingerprints, The (1997)",Comedy|Drama,False
22597,4637,2321,5,964031983,F,35,9,48302,Pleasantville (1998),Comedy,False
709090,2857,145,4,972506992,M,25,0,10469,Bad Boys (1995),Action,False
760384,4411,1057,5,969331339,M,18,4,92122,Everyone Says I Love You (1996),Comedy|Musical|Romance,False
770130,4899,1285,4,969317212,M,25,12,94402,Heathers (1989),Comedy,False
629716,3912,164,5,965859165,M,25,4,19104,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,False
310166,1758,348,5,974785522,F,25,0,33067-1400,Bullets Over Broadway (1994),Comedy,False
649094,4114,2542,4,965364768,M,35,14,48187,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,False
495992,193,1104,5,977019669,F,45,15,44106,"Streetcar Named Desire, A (1951)",Drama,False
499699,175,2424,4,977113725,F,25,2,95123,You've Got Mail (1998),Comedy|Romance,False
479828,5100,3629,5,962385172,M,50,6,193122042,"Gold Rush, The (1925)",Comedy,False
158268,6033,380,5,956714082,M,50,13,78232,True Lies (1994),Action|Adventure|Comedy|Romance,False
458855,1764,180,5,974707877,M,18,0,75149,Mallrats (1995),Comedy,False
816335,2455,2637,3,974181022,M,35,7,48197,"Mummy's Hand, The (1940)",Horror,False
220005,2792,1387,3,972930926,M,18,4,02452,Jaws (1975),Action|Horror,False
802764,2323,3726,2,975980885,M,35,3,13088,Assault on Precinct 13 (1976),Action|Thriller,False
711750,1613,3450,4,974732698,M,18,20,61801,Grumpy Old Men (1993),Comedy,False
778399,1068,38,2,974947661,F,18,4,77581,It Takes Two (1995),Comedy,False
904377,2419,3797,2,974246122,M,25,0,06096,"In Crowd, The (2000)",Thriller,False
827900,1780,3760,3,974751943,M,35,1,22181,"Kentucky Fried Movie, The (1977)",Comedy,False
177715,5269,1244,4,966911248,M,18,0,37211,Manhattan (1979),Comedy|Drama|Romance,False
718610,1087,3052,1,990550188,M,25,16,08826,Dogma (1999),Comedy,False
563499,1040,3101,4,974980639,M,25,11,76309,Fatal Attraction (1987),Thriller,False
773377,4598,2313,4,964216873,F,35,3,48237,"Elephant Man, The (1980)",Drama,False
67232,4566,2628,5,964488932,M,35,17,19473,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
287764,5771,908,4,958753104,M,25,7,95616,North by Northwest (1959),Drama|Thriller,False
858910,2921,66,2,971670505,M,50,1,53221,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,False
178731,2596,356,5,973808249,M,50,7,48152,Forrest Gump (1994),Comedy|Romance|War,False
69706,4271,2916,3,965306860,M,35,7,83405,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
61064,5163,3068,4,961952677,M,45,6,53216,"Verdict, The (1982)",Drama,False
140485,183,2571,1,977082955,F,45,1,55407,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
642895,4219,2010,5,965315944,M,35,17,95125,Metropolis (1926),Sci-Fi,False
888897,5853,1290,2,957747877,M,50,19,13903,Some Kind of Wonderful (1987),Drama|Romance,False
382364,5282,3481,3,961095359,F,18,4,63146,High Fidelity (2000),Comedy,False
752905,4009,2118,5,965958116,M,18,7,44039,"Dead Zone, The (1983)",Horror|Thriller,False
564349,1969,2598,4,974686087,F,25,3,92116,Pushing Tin (1999),Comedy,False
479379,4205,2826,4,965320937,F,25,15,87801,"13th Warrior, The (1999)",Action|Horror|Thriller,False
151481,2944,235,4,1011209842,F,18,4,48104,Ed Wood (1994),Comedy|Drama,False
510659,3499,2001,4,967233438,M,25,3,77006,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
619401,4605,1672,3,964204739,M,25,15,92656,"Rainmaker, The (1997)",Drama,False
287047,2300,908,4,974497302,M,56,13,49423,North by Northwest (1959),Drama|Thriller,False
744575,4510,3708,2,964989910,M,45,7,92503,Firestarter (1984),Horror|Thriller,False
904754,1181,1228,3,974947743,M,35,7,20716,Raging Bull (1980),Drama,False
618384,5065,3773,1,962479715,M,25,14,28715,House Party (1990),Comedy,False
640976,225,1206,5,976832960,M,25,7,11215,"Clockwork Orange, A (1971)",Sci-Fi,False
475337,5677,1375,3,958955975,M,25,1,13210,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,False
379131,5852,337,3,958101575,F,25,1,94044,What's Eating Gilbert Grape (1993),Drama,False
771605,5847,1298,5,957795201,F,18,4,02464,Pink Floyd - The Wall (1982),Drama|Musical|War,False
193777,5230,1291,4,961462786,M,25,12,91104,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
234797,3085,1250,5,998322482,M,25,4,78703,"Bridge on the River Kwai, The (1957)",Drama|War,False
92777,1203,1188,4,974927155,F,25,1,06417,Strictly Ballroom (1992),Comedy|Romance,False
300070,4062,3409,4,965480318,M,25,7,60559,Final Destination (2000),Drama|Thriller,False
620487,4437,2701,1,965097915,F,35,5,47129,Wild Wild West (1999),Action|Sci-Fi|Western,False
257506,4682,2282,4,965532785,M,25,7,05346,Pecker (1998),Comedy|Drama,False
248239,2860,6,4,976052938,M,35,17,20009,Heat (1995),Action|Crime|Thriller,False
815823,1758,3504,4,974784693,F,25,0,33067-1400,Network (1976),Comedy|Drama,False
724952,1425,2794,4,1008122305,M,1,10,08872,European Vacation (1985),Comedy,False
770488,2986,252,3,971848926,M,25,4,24060,I.Q. (1994),Comedy|Romance,False
230011,5076,39,5,962420918,M,25,3,19147,Clueless (1995),Comedy|Romance,False
179754,5364,356,5,960523486,F,25,3,55408,Forrest Gump (1994),Comedy|Romance|War,False
56999,451,608,5,976414704,M,56,13,54720,Fargo (1996),Crime|Drama|Thriller,False
250172,4253,800,4,965308181,M,45,11,03301,Lone Star (1996),Drama|Mystery,False
865997,169,305,1,977209999,M,25,7,55439,Ready to Wear (Pret-A-Porter) (1994),Comedy,False
19655,1203,3105,3,974997802,F,25,1,06417,Awakenings (1990),Drama,False
865697,1279,1914,4,974794288,M,35,1,98502,Smoke Signals (1998),Comedy|Drama,False
280263,3841,2013,3,965995593,M,45,18,26101,"Poseidon Adventure, The (1972)",Action|Adventure,False
49697,5950,260,5,957180414,M,25,4,19713,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
101052,2041,3471,4,983033253,F,25,20,24015,Close Encounters of the Third Kind (1977),Drama|Sci-Fi,False
870896,855,492,4,976408734,F,18,2,72701,Manhattan Murder Mystery (1993),Comedy|Mystery,False
235808,1738,3793,4,974708742,M,35,16,30034,X-Men (2000),Action|Sci-Fi,False
990121,3018,2855,2,970522910,M,35,0,45242,Nightmares (1983),Horror,False
288165,1884,1653,2,974693474,M,45,20,93108,Gattaca (1997),Drama|Sci-Fi|Thriller,False
782064,4390,511,3,965163164,M,25,0,11201,"Program, The (1993)",Action|Drama,False
199884,1794,1266,3,974705339,M,25,11,20878,Unforgiven (1992),Western,False
775928,1937,852,2,974792365,M,25,11,92335,Tin Cup (1996),Comedy|Romance,False
560064,1916,2076,5,974695253,M,45,7,90405,Blue Velvet (1986),Drama|Mystery,False
554981,3850,216,3,965881594,M,18,3,92278,Billy Madison (1995),Comedy,False
184473,5429,1641,5,960077422,F,25,1,02460,"Full Monty, The (1997)",Comedy,False
112507,2010,442,3,974676395,M,18,4,81520,Demolition Man (1993),Action|Sci-Fi,False
981878,3067,27,3,970001140,F,25,0,02148,Now and Then (1995),Drama,False
391805,765,367,3,975612605,M,25,17,74467,"Mask, The (1994)",Comedy|Crime|Fantasy,False
714010,396,1425,3,976295775,M,25,1,56187,Fierce Creatures (1997),Comedy,False
470378,5177,339,4,961858821,M,45,14,30005,While You Were Sleeping (1995),Comedy|Romance,False
895946,3180,3478,2,968804251,M,25,14,07430,"Bamba, La (1987)",Drama,False
31563,1524,1721,5,974750202,M,18,4,06459,Titanic (1997),Drama|Romance,False
561799,1632,1288,4,974717448,M,25,16,94120,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
998046,2092,2283,3,984263604,M,56,1,49006,"Sheltering Sky, The (1990)",Drama,False
202219,3260,1378,4,1019506886,M,25,4,44514,Young Guns (1988),Action|Comedy|Western,False
95431,5878,3256,4,1043782469,F,25,0,60640,Patriot Games (1992),Action|Thriller,False
669627,4488,3633,3,965012438,M,35,7,72703,On Her Majesty's Secret Service (1969),Action,False
11168,470,919,4,976223844,F,1,10,55068,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,False
161426,4567,457,4,964485979,M,18,4,98105,"Fugitive, The (1993)",Action|Thriller,False
10243,5893,2804,3,957463589,M,25,7,02139,"Christmas Story, A (1983)",Comedy|Drama,False
873242,2457,1980,2,974181024,M,25,0,60656,Friday the 13th Part VII: The New Blood (1988),Horror,False
763438,4568,3426,3,964479939,F,25,4,90034,Jungle Fever (1991),Drama|Romance,False
747726,2583,45,5,974592795,M,35,7,19610,To Die For (1995),Comedy|Drama,False
178436,1803,356,5,974697820,M,25,2,50021,Forrest Gump (1994),Comedy|Romance|War,False
784065,1943,2798,2,993575910,M,18,4,91501,Problem Child (1990),Comedy,False
480705,4673,1019,4,963766920,M,35,16,94705,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi,False
907923,1916,3134,3,974692256,M,45,7,90405,"Grand Illusion (Grande illusion, La) (1937)",Drama|War,False
391270,5011,2699,3,962635736,M,18,4,64154,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller,False
688816,3762,1327,3,966434818,M,50,6,11746,"Amityville Horror, The (1979)",Horror,False
787144,461,3248,2,976230296,M,50,7,55075,Sister Act 2: Back in the Habit (1993),Comedy,False
164425,3874,1527,5,965839686,M,25,7,92103,"Fifth Element, The (1997)",Action|Sci-Fi,False
149011,3012,3809,3,1044067560,M,25,12,78660,What About Bob? (1991),Comedy,False
526162,699,2375,3,986532798,M,18,0,73505,"Money Pit, The (1986)",Comedy,False
818019,1899,3018,3,975037988,F,45,6,02135,Re-Animator (1985),Horror,False
987334,238,844,5,976760260,F,50,7,90291,"Story of Xinghua, The (1993)",Drama,False
270655,1592,1921,5,974734878,M,35,7,50111,Pi (1998),Sci-Fi|Thriller,False
982563,1880,191,3,974706770,M,35,0,91006,"Scarlet Letter, The (1995)",Drama,False
701278,5444,2502,4,959973335,F,18,4,55449,Office Space (1999),Comedy|Romance,False
621773,5163,1911,4,961904535,M,45,6,53216,Doctor Dolittle (1998),Comedy,False
263041,179,1127,3,977092603,M,25,0,02135,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,False
199896,1860,1266,5,975258427,M,56,16,94591,Unforgiven (1992),Western,False
249848,1181,800,3,974984198,M,35,7,20716,Lone Star (1996),Drama|Mystery,False
656565,5271,302,4,961140843,F,25,0,94110,Queen Margot (La Reine Margot) (1994),Drama|Romance,False
635860,1842,2912,5,993445845,M,18,4,53190,"Limey, The (1999)",Action|Crime|Drama,False
431213,4490,3438,2,965008769,M,35,5,70123,Teenage Mutant Ninja Turtles (1990),Action|Children's|Fantasy,False
171070,1552,1784,5,974742674,M,45,20,10021,As Good As It Gets (1997),Comedy|Drama,False
386384,5107,2324,4,962335978,F,45,0,08081,Life Is Beautiful (La Vita � bella) (1997),Comedy|Drama,False
940702,4747,204,3,963242185,M,18,4,26201,Under Siege 2: Dark Territory (1995),Action,False
604235,4446,1608,4,965543090,M,18,18,60435,Air Force One (1997),Action|Thriller,False
789504,3986,471,4,965607664,M,25,7,33324,"Hudsucker Proxy, The (1994)",Comedy|Romance,False
790192,4285,1588,4,965278693,M,35,0,62704,George of the Jungle (1997),Children's|Comedy,False
462600,2887,3039,3,972155154,M,25,3,66205,Trading Places (1983),Comedy,False
726374,2700,81,3,973481781,M,25,7,30117,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,False
553722,4352,3928,3,974782583,M,18,4,11010,Abbott and Costello Meet Frankenstein (1948),Comedy|Horror,False
510063,5995,2000,4,956857135,F,35,1,14618,Lethal Weapon (1987),Action|Comedy|Crime|Drama,False
106369,2685,1945,2,973374526,M,45,7,02116,On the Waterfront (1954),Crime|Drama,False
506934,2276,62,5,974562001,M,56,13,44143,Mr. Holland's Opus (1995),Drama,False
63317,757,648,4,975453985,M,25,12,97401,Mission: Impossible (1996),Action|Adventure|Mystery,False
473818,3493,1374,3,967038839,M,25,17,61350,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi,False
283175,1132,1500,5,974888435,M,18,12,98225,Grosse Pointe Blank (1997),Comedy|Crime,False
853541,714,2027,2,975689637,M,18,4,76013,Mafia! (1998),Comedy|Crime,False
796144,5948,930,5,957195880,M,56,13,12124,Notorious (1946),Film-Noir|Romance|Thriller,False
389551,3627,1678,3,966549551,F,35,1,85287,"Joy Luck Club, The (1993)",Drama,False
680045,4033,2450,2,965525755,M,25,6,43551,Howard the Duck (1986),Adventure|Children's|Sci-Fi,False
235940,2188,3793,3,974660653,F,18,19,60641,X-Men (2000),Action|Sci-Fi,False
902150,2144,3918,3,974630740,M,18,0,46517,Hellbound: Hellraiser II (1988),Horror,False
373355,639,105,2,981089086,M,45,17,85202,"Bridges of Madison County, The (1995)",Drama|Romance,False
451708,4950,317,3,962946569,M,25,16,55421,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,False
722854,3808,2413,2,965966470,M,25,7,60010,Clue (1985),Comedy|Mystery,False
345772,678,1959,3,988637863,M,25,0,34952,Out of Africa (1985),Drama|Romance,False
714956,1812,185,4,974847273,F,25,12,48103,"Net, The (1995)",Sci-Fi|Thriller,False
447259,3017,1278,4,1025500237,F,35,9,85255,Young Frankenstein (1974),Comedy|Horror,False
121041,3211,1265,5,968544465,M,50,16,20015,Groundhog Day (1993),Comedy|Romance,False
585640,4568,3269,3,964479939,F,25,4,90034,Forever Young (1992),Adventure|Romance|Sci-Fi,False
383769,5798,2688,3,958059879,M,35,0,80027,"General's Daughter, The (1999)",Drama|Thriller,False
121409,4177,1265,3,965337127,M,35,17,90680,Groundhog Day (1993),Comedy|Romance,False
151225,1273,235,4,974816465,M,35,2,19123,Ed Wood (1994),Comedy|Drama,False
584226,1545,2528,2,974745741,M,25,20,20009,Logan's Run (1976),Action|Adventure|Sci-Fi,False
126537,3205,2427,2,968566580,F,35,16,80304,"Thin Red Line, The (1998)",Action|Drama|War,False
770777,1169,3614,4,974861171,M,25,20,94402,Honeymoon in Vegas (1992),Comedy|Romance,False
406950,5124,3751,5,962198633,M,35,2,20818,Chicken Run (2000),Animation|Children's|Comedy,False
28160,45,2340,2,977988826,F,45,16,94110,Meet Joe Black (1998),Romance,False
740719,3118,3044,3,969401030,M,25,0,77025,Dead Again (1991),Mystery|Romance|Thriller,False
373490,2745,105,3,973218203,F,35,1,30345,"Bridges of Madison County, The (1995)",Drama|Romance,False
474588,800,1375,5,975403259,F,35,12,72032,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,False
991331,2237,2521,3,974602082,F,35,6,14905,Airport 1975 (1974),Drama,False
488695,927,784,2,975195287,F,25,20,91105,"Cable Guy, The (1996)",Comedy,False
983457,4213,3165,4,965839521,M,35,7,63125,Boiling Point (1993),Action|Drama,False
950961,3771,2113,1,966048841,M,25,1,14982,Graveyard Shift (1990),Horror|Thriller,False
342192,434,912,3,976248260,F,45,3,98155,Casablanca (1942),Drama|Romance|War,False
913721,1796,2130,4,974698518,M,50,11,20852,Atlantic City (1980),Crime|Drama|Romance,False
123652,19,1372,4,978147232,M,1,10,48073,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,False
560654,1019,246,4,979755666,M,35,1,60640,Hoop Dreams (1994),Documentary,False
166747,5172,1385,3,1044153486,F,35,11,05602,Under Siege (1992),Action,False
398079,3462,1777,4,967176559,F,25,4,73160,"Wedding Singer, The (1998)",Comedy|Romance,False
886369,531,3553,3,978560109,F,18,14,22206,Gossip (2000),Drama|Thriller,False
94805,2435,3256,4,974224283,M,25,4,22903,Patriot Games (1992),Action|Thriller,False
529247,4478,2012,3,991839708,M,1,12,02138,Back to the Future Part III (1990),Comedy|Sci-Fi|Western,False
549428,4436,1234,3,965098914,M,25,12,19067,"Sting, The (1973)",Comedy|Crime,False
500898,3650,3087,4,970774665,M,25,0,60611,Scrooged (1988),Comedy,False
540940,5580,1080,5,996162538,M,45,7,01581,Monty Python's Life of Brian (1979),Comedy,False
402414,3475,1060,5,974771473,M,25,14,33133,Swingers (1996),Comedy|Drama,False
